"","batch","type","cluster"
"W31300","MARS-seq","GMP","MARS-seq 3"
"W31301","MARS-seq","GMP","MARS-seq 2"
"W31302","MARS-seq","MEP","MARS-seq 0"
"W31303","MARS-seq","MEP","MARS-seq 0"
"W31305","MARS-seq","GMP","MARS-seq 2"
"W31306","MARS-seq","GMP","MARS-seq 4"
"W31307","MARS-seq","GMP","MARS-seq 1"
"W31309","MARS-seq","MEP","MARS-seq 0"
"W31310","MARS-seq","MEP","MARS-seq 0"
"W31311","MARS-seq","GMP","MARS-seq 2"
"W31312","MARS-seq","GMP","MARS-seq 2"
"W31313","MARS-seq","CMP","MARS-seq 3"
"W31314","MARS-seq","CMP","MARS-seq 2"
"W31315","MARS-seq","MEP","MARS-seq 0"
"W31316","MARS-seq","MEP","MARS-seq 0"
"W31317","MARS-seq","MEP","MARS-seq 0"
"W31318","MARS-seq","MEP","MARS-seq 0"
"W31319","MARS-seq","GMP","MARS-seq 1"
"W31321","MARS-seq","MEP","MARS-seq 0"
"W31322","MARS-seq","MEP","MARS-seq 0"
"W31323","MARS-seq","MEP","MARS-seq 0"
"W31324","MARS-seq","CMP","MARS-seq 2"
"W31325","MARS-seq","MEP","MARS-seq 0"
"W31326","MARS-seq","MEP","MARS-seq 0"
"W31327","MARS-seq","GMP","MARS-seq 1"
"W31328","MARS-seq","MEP","MARS-seq 0"
"W31329","MARS-seq","GMP","MARS-seq 1"
"W31330","MARS-seq","GMP","MARS-seq 1"
"W31331","MARS-seq","CMP","MARS-seq 3"
"W31332","MARS-seq","GMP","MARS-seq 4"
"W31333","MARS-seq","MEP","MARS-seq 0"
"W31334","MARS-seq","MEP","MARS-seq 0"
"W31335","MARS-seq","GMP","MARS-seq 2"
"W31336","MARS-seq","GMP","MARS-seq 1"
"W31337","MARS-seq","MEP","MARS-seq 0"
"W31338","MARS-seq","GMP","MARS-seq 1"
"W31339","MARS-seq","GMP","MARS-seq 1"
"W31340","MARS-seq","MEP","MARS-seq 0"
"W31341","MARS-seq","GMP","MARS-seq 4"
"W31342","MARS-seq","GMP","MARS-seq 4"
"W31343","MARS-seq","GMP","MARS-seq 1"
"W31345","MARS-seq","MEP","MARS-seq 0"
"W31346","MARS-seq","MEP","MARS-seq 0"
"W31347","MARS-seq","GMP","MARS-seq 1"
"W31348","MARS-seq","MEP","MARS-seq 0"
"W31349","MARS-seq","MEP","MARS-seq 3"
"W31350","MARS-seq","GMP","MARS-seq 4"
"W31351","MARS-seq","GMP","MARS-seq 1"
"W31353","MARS-seq","MEP","MARS-seq 0"
"W31354","MARS-seq","GMP","MARS-seq 2"
"W31355","MARS-seq","GMP","MARS-seq 1"
"W31356","MARS-seq","MEP","MARS-seq 0"
"W31357","MARS-seq","MEP","MARS-seq 0"
"W31358","MARS-seq","MEP","MARS-seq 3"
"W31359","MARS-seq","GMP","MARS-seq 1"
"W31360","MARS-seq","MEP","MARS-seq 0"
"W31361","MARS-seq","GMP","MARS-seq 4"
"W31362","MARS-seq","GMP","MARS-seq 1"
"W31363","MARS-seq","GMP","MARS-seq 4"
"W31364","MARS-seq","CMP","MARS-seq 3"
"W31365","MARS-seq","GMP","MARS-seq 1"
"W31366","MARS-seq","GMP","MARS-seq 4"
"W31367","MARS-seq","GMP","MARS-seq 1"
"W31368","MARS-seq","MEP","MARS-seq 0"
"W31369","MARS-seq","MEP","MARS-seq 0"
"W31370","MARS-seq","MEP","MARS-seq 0"
"W31371","MARS-seq","GMP","MARS-seq 1"
"W31372","MARS-seq","MEP","MARS-seq 0"
"W31373","MARS-seq","GMP","MARS-seq 2"
"W31374","MARS-seq","MEP","MARS-seq 0"
"W31375","MARS-seq","MEP","MARS-seq 0"
"W31376","MARS-seq","GMP","MARS-seq 2"
"W31377","MARS-seq","GMP","MARS-seq 2"
"W31378","MARS-seq","MEP","MARS-seq 0"
"W31379","MARS-seq","CMP","MARS-seq 2"
"W31380","MARS-seq","MEP","MARS-seq 0"
"W31381","MARS-seq","GMP","MARS-seq 1"
"W31382","MARS-seq","MEP","MARS-seq 0"
"W31383","MARS-seq","CMP","MARS-seq 2"
"W31386","MARS-seq","GMP","MARS-seq 4"
"W31387","MARS-seq","MEP","MARS-seq 0"
"W31388","MARS-seq","CMP","MARS-seq 2"
"W31389","MARS-seq","MEP","MARS-seq 0"
"W31390","MARS-seq","MEP","MARS-seq 0"
"W31391","MARS-seq","MEP","MARS-seq 0"
"W31392","MARS-seq","GMP","MARS-seq 2"
"W31393","MARS-seq","GMP","MARS-seq 1"
"W31394","MARS-seq","MEP","MARS-seq 0"
"W31395","MARS-seq","GMP","MARS-seq 1"
"W31396","MARS-seq","GMP","MARS-seq 4"
"W31397","MARS-seq","GMP","MARS-seq 2"
"W31398","MARS-seq","GMP","MARS-seq 1"
"W31399","MARS-seq","GMP","MARS-seq 1"
"W31401","MARS-seq","MEP","MARS-seq 0"
"W31402","MARS-seq","GMP","MARS-seq 1"
"W31403","MARS-seq","GMP","MARS-seq 1"
"W31405","MARS-seq","GMP","MARS-seq 2"
"W31406","MARS-seq","MEP","MARS-seq 0"
"W31407","MARS-seq","CMP","MARS-seq 3"
"W31409","MARS-seq","GMP","MARS-seq 1"
"W31410","MARS-seq","MEP","MARS-seq 0"
"W31411","MARS-seq","GMP","MARS-seq 1"
"W31412","MARS-seq","CMP","MARS-seq 5"
"W31413","MARS-seq","MEP","MARS-seq 0"
"W31414","MARS-seq","MEP","MARS-seq 0"
"W31415","MARS-seq","MEP","MARS-seq 0"
"W31416","MARS-seq","MEP","MARS-seq 0"
"W31418","MARS-seq","MEP","MARS-seq 0"
"W31419","MARS-seq","MEP","MARS-seq 0"
"W31420","MARS-seq","MEP","MARS-seq 0"
"W31421","MARS-seq","GMP","MARS-seq 4"
"W31422","MARS-seq","GMP","MARS-seq 1"
"W31423","MARS-seq","MEP","MARS-seq 0"
"W31424","MARS-seq","MEP","MARS-seq 0"
"W31425","MARS-seq","GMP","MARS-seq 4"
"W31426","MARS-seq","MEP","MARS-seq 0"
"W31427","MARS-seq","MEP","MARS-seq 0"
"W31428","MARS-seq","MEP","MARS-seq 0"
"W31429","MARS-seq","MEP","MARS-seq 0"
"W31430","MARS-seq","CMP","MARS-seq 3"
"W31431","MARS-seq","MEP","MARS-seq 0"
"W31432","MARS-seq","GMP","MARS-seq 4"
"W31433","MARS-seq","CMP","MARS-seq 3"
"W31434","MARS-seq","MEP","MARS-seq 0"
"W31436","MARS-seq","GMP","MARS-seq 1"
"W31437","MARS-seq","MEP","MARS-seq 3"
"W31439","MARS-seq","CMP","MARS-seq 2"
"W31440","MARS-seq","MEP","MARS-seq 0"
"W31441","MARS-seq","MEP","MARS-seq 0"
"W31442","MARS-seq","MEP","MARS-seq 0"
"W31443","MARS-seq","GMP","MARS-seq 2"
"W31444","MARS-seq","MEP","MARS-seq 0"
"W31445","MARS-seq","GMP","MARS-seq 2"
"W31446","MARS-seq","MEP","MARS-seq 0"
"W31447","MARS-seq","MEP","MARS-seq 0"
"W31448","MARS-seq","GMP","MARS-seq 1"
"W31451","MARS-seq","GMP","MARS-seq 2"
"W31452","MARS-seq","MEP","MARS-seq 0"
"W31453","MARS-seq","MEP","MARS-seq 3"
"W31454","MARS-seq","GMP","MARS-seq 2"
"W31455","MARS-seq","MEP","MARS-seq 0"
"W31456","MARS-seq","MEP","MARS-seq 0"
"W31457","MARS-seq","GMP","MARS-seq 2"
"W31458","MARS-seq","CMP","MARS-seq 3"
"W31459","MARS-seq","GMP","MARS-seq 2"
"W31460","MARS-seq","GMP","MARS-seq 1"
"W31461","MARS-seq","MEP","MARS-seq 0"
"W31462","MARS-seq","MEP","MARS-seq 0"
"W31463","MARS-seq","MEP","MARS-seq 0"
"W31464","MARS-seq","GMP","MARS-seq 1"
"W31465","MARS-seq","GMP","MARS-seq 2"
"W31466","MARS-seq","GMP","MARS-seq 1"
"W31467","MARS-seq","MEP","MARS-seq 0"
"W31468","MARS-seq","GMP","MARS-seq 2"
"W31469","MARS-seq","GMP","MARS-seq 4"
"W31470","MARS-seq","MEP","MARS-seq 0"
"W31471","MARS-seq","GMP","MARS-seq 1"
"W31472","MARS-seq","GMP","MARS-seq 4"
"W31473","MARS-seq","GMP","MARS-seq 1"
"W31474","MARS-seq","GMP","MARS-seq 4"
"W31475","MARS-seq","GMP","MARS-seq 1"
"W31476","MARS-seq","CMP","MARS-seq 3"
"W31477","MARS-seq","CMP","MARS-seq 2"
"W31478","MARS-seq","GMP","MARS-seq 2"
"W31479","MARS-seq","MEP","MARS-seq 0"
"W31480","MARS-seq","CMP","MARS-seq 3"
"W31481","MARS-seq","MEP","MARS-seq 0"
"W31483","MARS-seq","GMP","MARS-seq 4"
"W31484","MARS-seq","GMP","MARS-seq 1"
"W31485","MARS-seq","MEP","MARS-seq 0"
"W31486","MARS-seq","MEP","MARS-seq 0"
"W31487","MARS-seq","GMP","MARS-seq 1"
"W31489","MARS-seq","GMP","MARS-seq 1"
"W31491","MARS-seq","CMP","MARS-seq 2"
"W31492","MARS-seq","MEP","MARS-seq 0"
"W31493","MARS-seq","CMP","MARS-seq 2"
"W31494","MARS-seq","GMP","MARS-seq 1"
"W31495","MARS-seq","CMP","MARS-seq 2"
"W31497","MARS-seq","CMP","MARS-seq 3"
"W31498","MARS-seq","CMP","MARS-seq 2"
"W31499","MARS-seq","MEP","MARS-seq 0"
"W31500","MARS-seq","MEP","MARS-seq 0"
"W31501","MARS-seq","GMP","MARS-seq 1"
"W31502","MARS-seq","CMP","MARS-seq 2"
"W31503","MARS-seq","GMP","MARS-seq 4"
"W31504","MARS-seq","GMP","MARS-seq 1"
"W31505","MARS-seq","CMP","MARS-seq 3"
"W31506","MARS-seq","MEP","MARS-seq 3"
"W31507","MARS-seq","CMP","MARS-seq 3"
"W31508","MARS-seq","MEP","MARS-seq 0"
"W31509","MARS-seq","GMP","MARS-seq 4"
"W31510","MARS-seq","GMP","MARS-seq 1"
"W31511","MARS-seq","CMP","MARS-seq 2"
"W31512","MARS-seq","CMP","MARS-seq 3"
"W31513","MARS-seq","MEP","MARS-seq 0"
"W31514","MARS-seq","CMP","MARS-seq 3"
"W31515","MARS-seq","GMP","MARS-seq 1"
"W31516","MARS-seq","MEP","MARS-seq 0"
"W31517","MARS-seq","GMP","MARS-seq 2"
"W31518","MARS-seq","GMP","MARS-seq 1"
"W31519","MARS-seq","CMP","MARS-seq 2"
"W31520","MARS-seq","CMP","MARS-seq 2"
"W31521","MARS-seq","MEP","MARS-seq 0"
"W31522","MARS-seq","GMP","MARS-seq 1"
"W31523","MARS-seq","MEP","MARS-seq 0"
"W31524","MARS-seq","GMP","MARS-seq 2"
"W31525","MARS-seq","MEP","MARS-seq 0"
"W31526","MARS-seq","MEP","MARS-seq 3"
"W31527","MARS-seq","MEP","MARS-seq 3"
"W31528","MARS-seq","GMP","MARS-seq 1"
"W31529","MARS-seq","MEP","MARS-seq 0"
"W31530","MARS-seq","GMP","MARS-seq 1"
"W31531","MARS-seq","CMP","MARS-seq 5"
"W31532","MARS-seq","GMP","MARS-seq 4"
"W31533","MARS-seq","CMP","MARS-seq 2"
"W31534","MARS-seq","CMP","MARS-seq 3"
"W31535","MARS-seq","CMP","MARS-seq 2"
"W31536","MARS-seq","MEP","MARS-seq 0"
"W31537","MARS-seq","GMP","MARS-seq 2"
"W31538","MARS-seq","GMP","MARS-seq 1"
"W31539","MARS-seq","GMP","MARS-seq 2"
"W31540","MARS-seq","GMP","MARS-seq 1"
"W31541","MARS-seq","MEP","MARS-seq 0"
"W31542","MARS-seq","GMP","MARS-seq 1"
"W31543","MARS-seq","MEP","MARS-seq 0"
"W31544","MARS-seq","GMP","MARS-seq 1"
"W31545","MARS-seq","GMP","MARS-seq 2"
"W31546","MARS-seq","GMP","MARS-seq 4"
"W31547","MARS-seq","CMP","MARS-seq 5"
"W31548","MARS-seq","GMP","MARS-seq 2"
"W31549","MARS-seq","GMP","MARS-seq 1"
"W31550","MARS-seq","MEP","MARS-seq 0"
"W31551","MARS-seq","MEP","MARS-seq 0"
"W31552","MARS-seq","GMP","MARS-seq 2"
"W31553","MARS-seq","CMP","MARS-seq 3"
"W31554","MARS-seq","MEP","MARS-seq 0"
"W31555","MARS-seq","MEP","MARS-seq 3"
"W31556","MARS-seq","GMP","MARS-seq 2"
"W31558","MARS-seq","GMP","MARS-seq 2"
"W31559","MARS-seq","GMP","MARS-seq 1"
"W31560","MARS-seq","MEP","MARS-seq 3"
"W31562","MARS-seq","GMP","MARS-seq 2"
"W31563","MARS-seq","MEP","MARS-seq 0"
"W31564","MARS-seq","GMP","MARS-seq 2"
"W31565","MARS-seq","MEP","MARS-seq 0"
"W31566","MARS-seq","GMP","MARS-seq 4"
"W31567","MARS-seq","GMP","MARS-seq 1"
"W31568","MARS-seq","GMP","MARS-seq 1"
"W31569","MARS-seq","CMP","MARS-seq 3"
"W31570","MARS-seq","CMP","MARS-seq 3"
"W31571","MARS-seq","GMP","MARS-seq 4"
"W31572","MARS-seq","MEP","MARS-seq 0"
"W31573","MARS-seq","MEP","MARS-seq 3"
"W31575","MARS-seq","MEP","MARS-seq 3"
"W31576","MARS-seq","MEP","MARS-seq 0"
"W31577","MARS-seq","GMP","MARS-seq 4"
"W31578","MARS-seq","MEP","MARS-seq 0"
"W31580","MARS-seq","GMP","MARS-seq 2"
"W31581","MARS-seq","CMP","MARS-seq 2"
"W31583","MARS-seq","GMP","MARS-seq 3"
"W31586","MARS-seq","MEP","MARS-seq 0"
"W31587","MARS-seq","CMP","MARS-seq 2"
"W31588","MARS-seq","GMP","MARS-seq 4"
"W31590","MARS-seq","GMP","MARS-seq 1"
"W31591","MARS-seq","GMP","MARS-seq 1"
"W31593","MARS-seq","MEP","MARS-seq 0"
"W31594","MARS-seq","MEP","MARS-seq 0"
"W31595","MARS-seq","GMP","MARS-seq 4"
"W31596","MARS-seq","GMP","MARS-seq 4"
"W31597","MARS-seq","GMP","MARS-seq 1"
"W31598","MARS-seq","MEP","MARS-seq 0"
"W31599","MARS-seq","GMP","MARS-seq 4"
"W31600","MARS-seq","GMP","MARS-seq 2"
"W31601","MARS-seq","GMP","MARS-seq 4"
"W31602","MARS-seq","GMP","MARS-seq 2"
"W31603","MARS-seq","GMP","MARS-seq 4"
"W31604","MARS-seq","MEP","MARS-seq 3"
"W31605","MARS-seq","MEP","MARS-seq 0"
"W31606","MARS-seq","GMP","MARS-seq 1"
"W31607","MARS-seq","CMP","MARS-seq 2"
"W31608","MARS-seq","GMP","MARS-seq 1"
"W31609","MARS-seq","GMP","MARS-seq 4"
"W31611","MARS-seq","GMP","MARS-seq 1"
"W31613","MARS-seq","MEP","MARS-seq 3"
"W31614","MARS-seq","CMP","MARS-seq 3"
"W31615","MARS-seq","GMP","MARS-seq 2"
"W31617","MARS-seq","GMP","MARS-seq 4"
"W31618","MARS-seq","MEP","MARS-seq 0"
"W31620","MARS-seq","GMP","MARS-seq 2"
"W31621","MARS-seq","CMP","MARS-seq 3"
"W31622","MARS-seq","GMP","MARS-seq 4"
"W31623","MARS-seq","GMP","MARS-seq 1"
"W31624","MARS-seq","GMP","MARS-seq 4"
"W31625","MARS-seq","GMP","MARS-seq 4"
"W31626","MARS-seq","MEP","MARS-seq 3"
"W31628","MARS-seq","GMP","MARS-seq 4"
"W31629","MARS-seq","MEP","MARS-seq 0"
"W31630","MARS-seq","GMP","MARS-seq 4"
"W31631","MARS-seq","GMP","MARS-seq 1"
"W31632","MARS-seq","GMP","MARS-seq 4"
"W31634","MARS-seq","MEP","MARS-seq 0"
"W31635","MARS-seq","MEP","MARS-seq 0"
"W31636","MARS-seq","MEP","MARS-seq 0"
"W31638","MARS-seq","GMP","MARS-seq 1"
"W31639","MARS-seq","GMP","MARS-seq 1"
"W31640","MARS-seq","MEP","MARS-seq 0"
"W31641","MARS-seq","MEP","MARS-seq 0"
"W31642","MARS-seq","CMP","MARS-seq 2"
"W31644","MARS-seq","GMP","MARS-seq 1"
"W31645","MARS-seq","CMP","MARS-seq 3"
"W31646","MARS-seq","GMP","MARS-seq 2"
"W31647","MARS-seq","CMP","MARS-seq 5"
"W31648","MARS-seq","GMP","MARS-seq 4"
"W31649","MARS-seq","MEP","MARS-seq 0"
"W31650","MARS-seq","MEP","MARS-seq 0"
"W31651","MARS-seq","CMP","MARS-seq 3"
"W31652","MARS-seq","CMP","MARS-seq 3"
"W31653","MARS-seq","MEP","MARS-seq 0"
"W31654","MARS-seq","MEP","MARS-seq 0"
"W31655","MARS-seq","GMP","MARS-seq 1"
"W31656","MARS-seq","GMP","MARS-seq 1"
"W31657","MARS-seq","GMP","MARS-seq 2"
"W31658","MARS-seq","CMP","MARS-seq 3"
"W31659","MARS-seq","CMP","MARS-seq 3"
"W31660","MARS-seq","GMP","MARS-seq 1"
"W31661","MARS-seq","MEP","MARS-seq 3"
"W31662","MARS-seq","MEP","MARS-seq 0"
"W31663","MARS-seq","GMP","MARS-seq 4"
"W31664","MARS-seq","GMP","MARS-seq 1"
"W31665","MARS-seq","GMP","MARS-seq 1"
"W31666","MARS-seq","MEP","MARS-seq 0"
"W31667","MARS-seq","GMP","MARS-seq 2"
"W31668","MARS-seq","MEP","MARS-seq 0"
"W31669","MARS-seq","CMP","MARS-seq 3"
"W31670","MARS-seq","CMP","MARS-seq 1"
"W31674","MARS-seq","GMP","MARS-seq 2"
"W31676","MARS-seq","MEP","MARS-seq 0"
"W31678","MARS-seq","GMP","MARS-seq 1"
"W31681","MARS-seq","GMP","MARS-seq 2"
"W31682","MARS-seq","CMP","MARS-seq 2"
"W31683","MARS-seq","GMP","MARS-seq 4"
"W31684","MARS-seq","GMP","MARS-seq 2"
"W31685","MARS-seq","CMP","MARS-seq 3"
"W31686","MARS-seq","GMP","MARS-seq 4"
"W31687","MARS-seq","GMP","MARS-seq 1"
"W31689","MARS-seq","MEP","MARS-seq 0"
"W31690","MARS-seq","GMP","MARS-seq 4"
"W31691","MARS-seq","MEP","MARS-seq 0"
"W31692","MARS-seq","CMP","MARS-seq 3"
"W31693","MARS-seq","CMP","MARS-seq 3"
