"","batch","type","cluster"
"Cell400","1","A","1 1"
"Cell401","1","A","1 1"
"Cell402","1","A","1 1"
"Cell403","1","B","1 0"
"Cell404","1","B","1 0"
"Cell405","1","B","1 0"
"Cell406","1","A","1 1"
"Cell407","1","A","1 1"
"Cell408","1","A","1 1"
"Cell409","1","B","1 0"
"Cell410","1","B","1 0"
"Cell411","1","A","1 1"
"Cell412","1","B","1 0"
"Cell413","1","B","1 0"
"Cell414","1","A","1 1"
"Cell415","1","B","1 0"
"Cell416","1","A","1 1"
"Cell417","1","A","1 1"
"Cell418","1","A","1 1"
"Cell419","1","B","1 0"
"Cell420","1","B","1 0"
"Cell421","1","B","1 0"
"Cell422","1","B","1 0"
"Cell423","1","A","1 1"
"Cell424","1","B","1 0"
"Cell425","1","A","1 1"
"Cell426","1","B","1 0"
"Cell427","1","A","1 1"
"Cell428","1","B","1 0"
"Cell429","1","B","1 0"
"Cell430","1","A","1 1"
"Cell431","1","B","1 0"
"Cell432","1","B","1 0"
"Cell433","1","A","1 1"
"Cell434","1","B","1 0"
"Cell435","1","B","1 0"
"Cell436","1","A","1 1"
"Cell437","1","A","1 1"
"Cell438","1","A","1 1"
"Cell439","1","A","1 1"
"Cell440","1","B","1 0"
"Cell441","1","B","1 0"
"Cell442","1","A","1 1"
"Cell443","1","B","1 0"
"Cell444","1","A","1 1"
"Cell445","1","B","1 0"
"Cell446","1","B","1 0"
"Cell447","1","A","1 1"
"Cell448","1","A","1 1"
"Cell449","1","A","1 1"
"Cell450","1","A","1 1"
"Cell451","1","A","1 1"
"Cell452","1","B","1 0"
"Cell453","1","A","1 1"
"Cell454","1","B","1 0"
"Cell455","1","A","1 1"
"Cell456","1","A","1 1"
"Cell457","1","A","1 1"
"Cell458","1","A","1 1"
"Cell459","1","A","1 1"
"Cell460","1","A","1 1"
"Cell461","1","A","1 1"
"Cell462","1","A","1 1"
"Cell463","1","B","1 0"
"Cell464","1","A","1 1"
"Cell465","1","B","1 0"
"Cell466","1","A","1 1"
"Cell467","1","A","1 1"
"Cell468","1","A","1 1"
"Cell469","1","B","1 0"
"Cell470","1","A","1 1"
"Cell471","1","A","1 1"
"Cell472","1","B","1 0"
"Cell473","1","B","1 0"
"Cell474","1","B","1 0"
"Cell475","1","B","1 0"
"Cell476","1","B","1 0"
"Cell477","1","B","1 0"
"Cell478","1","A","1 1"
"Cell479","1","A","1 1"
"Cell480","1","A","1 1"
"Cell481","1","A","1 1"
"Cell482","1","A","1 1"
"Cell483","1","A","1 1"
"Cell484","1","B","1 0"
"Cell485","1","A","1 1"
"Cell486","1","A","1 1"
"Cell487","1","A","1 1"
"Cell488","1","A","1 1"
"Cell489","1","A","1 1"
"Cell490","1","B","1 0"
"Cell491","1","B","1 0"
"Cell492","1","A","1 1"
"Cell493","1","A","1 1"
"Cell494","1","B","1 0"
"Cell495","1","A","1 1"
"Cell496","1","A","1 1"
"Cell497","1","A","1 1"
"Cell498","1","A","1 1"
"Cell499","1","A","1 1"
"Cell500","1","A","1 1"
"Cell501","1","B","1 0"
"Cell502","1","B","1 0"
"Cell503","1","B","1 0"
"Cell504","1","B","1 0"
"Cell505","1","A","1 1"
"Cell506","1","A","1 1"
"Cell507","1","A","1 1"
"Cell508","1","B","1 0"
"Cell509","1","A","1 1"
"Cell510","1","A","1 1"
"Cell511","1","A","1 1"
"Cell512","1","A","1 1"
"Cell513","1","A","1 1"
"Cell514","1","B","1 0"
"Cell515","1","A","1 1"
"Cell516","1","A","1 1"
"Cell517","1","A","1 1"
"Cell518","1","B","1 0"
"Cell519","1","A","1 1"
"Cell520","1","B","1 0"
"Cell521","1","B","1 0"
"Cell522","1","A","1 1"
"Cell523","1","A","1 1"
"Cell524","1","B","1 0"
"Cell525","1","B","1 0"
"Cell526","1","B","1 0"
"Cell527","1","A","1 1"
"Cell528","1","A","1 1"
"Cell529","1","B","1 0"
"Cell530","1","A","1 1"
"Cell531","1","B","1 0"
"Cell532","1","B","1 0"
"Cell533","1","B","1 0"
"Cell534","1","A","1 1"
"Cell535","1","A","1 1"
"Cell536","1","B","1 0"
"Cell537","1","A","1 1"
"Cell538","1","B","1 0"
"Cell539","1","A","1 1"
"Cell540","1","A","1 1"
"Cell541","1","B","1 0"
"Cell542","1","A","1 1"
"Cell543","1","B","1 0"
"Cell544","1","A","1 1"
"Cell545","1","B","1 0"
"Cell546","1","A","1 1"
"Cell547","1","A","1 1"
"Cell548","1","B","1 0"
"Cell549","1","B","1 0"
"Cell550","1","A","1 1"
"Cell551","1","A","1 1"
"Cell552","1","B","1 0"
"Cell553","1","A","1 1"
"Cell554","1","B","1 0"
"Cell555","1","B","1 0"
"Cell556","1","B","1 0"
"Cell557","1","B","1 0"
"Cell558","1","A","1 1"
"Cell559","1","B","1 0"
"Cell560","1","B","1 0"
"Cell561","1","A","1 1"
"Cell562","1","A","1 1"
"Cell563","1","A","1 1"
"Cell564","1","B","1 0"
"Cell565","1","B","1 0"
"Cell566","1","B","1 0"
"Cell567","1","B","1 0"
"Cell568","1","A","1 1"
"Cell569","1","A","1 1"
"Cell570","1","B","1 0"
"Cell571","1","B","1 0"
"Cell572","1","B","1 0"
"Cell573","1","A","1 1"
"Cell574","1","A","1 1"
"Cell575","1","B","1 0"
"Cell576","1","B","1 0"
"Cell577","1","A","1 1"
"Cell578","1","A","1 1"
"Cell579","1","B","1 0"
"Cell580","1","A","1 1"
"Cell581","1","A","1 1"
"Cell582","1","B","1 0"
"Cell583","1","B","1 0"
"Cell584","1","B","1 0"
"Cell585","1","B","1 0"
"Cell586","1","B","1 0"
"Cell587","1","B","1 0"
"Cell588","1","A","1 1"
"Cell589","1","B","1 0"
"Cell590","1","A","1 1"
"Cell591","1","A","1 1"
"Cell592","1","A","1 1"
"Cell593","1","B","1 0"
"Cell594","1","B","1 0"
"Cell595","1","A","1 1"
"Cell596","1","B","1 0"
"Cell597","1","A","1 1"
"Cell598","1","A","1 1"
"Cell599","1","A","1 1"
"Cell600","1","A","1 1"
"Cell601","1","A","1 1"
"Cell602","1","B","1 0"
"Cell603","1","B","1 0"
"Cell604","1","A","1 1"
"Cell605","1","B","1 0"
"Cell606","1","B","1 0"
"Cell607","1","A","1 1"
"Cell608","1","A","1 1"
"Cell609","1","B","1 0"
"Cell610","1","B","1 0"
"Cell611","1","B","1 0"
"Cell612","1","A","1 1"
"Cell613","1","A","1 1"
"Cell614","1","A","1 1"
"Cell615","1","B","1 0"
"Cell616","1","A","1 1"
"Cell617","1","A","1 1"
"Cell618","1","B","1 0"
"Cell619","1","B","1 0"
"Cell620","1","B","1 0"
"Cell621","1","B","1 0"
"Cell622","1","A","1 1"
"Cell623","1","A","1 1"
"Cell624","1","A","1 1"
"Cell625","1","A","1 1"
"Cell626","1","B","1 0"
"Cell627","1","B","1 0"
"Cell628","1","B","1 0"
"Cell629","1","B","1 0"
"Cell630","1","A","1 1"
"Cell631","1","B","1 0"
"Cell632","1","B","1 0"
"Cell633","1","B","1 0"
"Cell634","1","B","1 0"
"Cell635","1","A","1 1"
"Cell636","1","A","1 1"
"Cell637","1","B","1 0"
"Cell638","1","A","1 1"
"Cell639","1","A","1 1"
"Cell640","1","B","1 0"
"Cell641","1","B","1 0"
"Cell642","1","A","1 1"
"Cell643","1","A","1 1"
"Cell644","1","B","1 0"
"Cell645","1","B","1 0"
"Cell646","1","B","1 0"
"Cell647","1","B","1 0"
"Cell648","1","B","1 0"
"Cell649","1","A","1 1"
"Cell650","1","A","1 1"
"Cell651","1","A","1 1"
"Cell652","1","B","1 0"
"Cell653","1","B","1 0"
"Cell654","1","A","1 1"
"Cell655","1","B","1 0"
"Cell656","1","A","1 1"
"Cell657","1","A","1 1"
"Cell658","1","A","1 1"
"Cell659","1","A","1 1"
"Cell660","1","A","1 1"
"Cell661","1","A","1 1"
"Cell662","1","B","1 0"
"Cell663","1","A","1 1"
"Cell664","1","A","1 1"
"Cell665","1","A","1 1"
"Cell666","1","B","1 0"
"Cell667","1","B","1 0"
"Cell668","1","A","1 1"
"Cell669","1","B","1 0"
"Cell670","1","A","1 1"
"Cell671","1","A","1 1"
"Cell672","1","A","1 1"
"Cell673","1","B","1 0"
"Cell674","1","B","1 0"
"Cell675","1","B","1 0"
"Cell676","1","A","1 1"
"Cell677","1","A","1 1"
"Cell678","1","A","1 1"
"Cell679","1","A","1 1"
"Cell680","1","B","1 0"
"Cell681","1","A","1 1"
"Cell682","1","B","1 0"
"Cell683","1","B","1 0"
"Cell684","1","A","1 1"
"Cell685","1","A","1 1"
"Cell686","1","A","1 1"
"Cell687","1","A","1 1"
"Cell688","1","B","1 0"
"Cell689","1","B","1 0"
"Cell690","1","B","1 0"
"Cell691","1","A","1 1"
"Cell692","1","A","1 1"
"Cell693","1","A","1 1"
"Cell694","1","A","1 1"
"Cell695","1","A","1 1"
"Cell696","1","A","1 1"
"Cell697","1","A","1 1"
"Cell698","1","B","1 0"
"Cell699","1","A","1 1"
"Cell700","1","B","1 0"
"Cell701","1","B","1 0"
"Cell702","1","B","1 0"
"Cell703","1","A","1 1"
"Cell704","1","A","1 1"
"Cell705","1","B","1 0"
"Cell706","1","B","1 0"
"Cell707","1","B","1 0"
"Cell708","1","B","1 0"
"Cell709","1","A","1 1"
"Cell710","1","A","1 1"
"Cell711","1","B","1 0"
"Cell712","1","B","1 0"
"Cell713","1","B","1 0"
"Cell714","1","B","1 0"
"Cell715","1","A","1 1"
"Cell716","1","A","1 1"
"Cell717","1","B","1 0"
"Cell718","1","B","1 0"
"Cell719","1","B","1 0"
"Cell720","1","A","1 1"
"Cell721","1","B","1 0"
"Cell722","1","A","1 1"
"Cell723","1","B","1 0"
"Cell724","1","A","1 1"
"Cell725","1","B","1 0"
"Cell726","1","B","1 0"
"Cell727","1","A","1 1"
"Cell728","1","B","1 0"
"Cell729","1","B","1 0"
"Cell730","1","B","1 0"
"Cell731","1","B","1 0"
"Cell732","1","B","1 0"
"Cell733","1","A","1 1"
"Cell734","1","B","1 0"
"Cell735","1","A","1 1"
"Cell736","1","B","1 0"
"Cell737","1","A","1 1"
"Cell738","1","A","1 1"
"Cell739","1","B","1 0"
"Cell740","1","A","1 1"
"Cell741","1","A","1 1"
"Cell742","1","B","1 0"
"Cell743","1","A","1 1"
"Cell744","1","A","1 1"
"Cell745","1","A","1 1"
"Cell746","1","B","1 0"
"Cell747","1","B","1 0"
"Cell748","1","A","1 1"
"Cell749","1","B","1 0"
"Cell750","1","A","1 1"
"Cell751","1","B","1 0"
"Cell752","1","A","1 1"
"Cell753","1","A","1 1"
"Cell754","1","A","1 1"
"Cell755","1","B","1 0"
"Cell756","1","A","1 1"
"Cell757","1","B","1 0"
"Cell758","1","B","1 0"
"Cell759","1","B","1 0"
"Cell760","1","B","1 0"
"Cell761","1","B","1 0"
"Cell762","1","B","1 0"
"Cell763","1","B","1 0"
"Cell764","1","B","1 0"
"Cell765","1","B","1 0"
"Cell766","1","B","1 0"
"Cell767","1","A","1 1"
"Cell768","1","B","1 0"
"Cell769","1","B","1 0"
"Cell770","1","A","1 1"
"Cell771","1","A","1 1"
"Cell772","1","A","1 1"
"Cell773","1","A","1 1"
"Cell774","1","B","1 0"
"Cell775","1","A","1 1"
"Cell776","1","A","1 1"
"Cell777","1","B","1 0"
"Cell778","1","B","1 0"
"Cell779","1","A","1 1"
"Cell780","1","B","1 0"
"Cell781","1","B","1 0"
"Cell782","1","B","1 0"
"Cell783","1","B","1 0"
"Cell784","1","A","1 1"
"Cell785","1","A","1 1"
"Cell786","1","B","1 0"
"Cell787","1","A","1 1"
"Cell788","1","A","1 1"
"Cell789","1","B","1 0"
"Cell790","1","B","1 0"
"Cell791","1","B","1 0"
"Cell792","1","B","1 0"
"Cell793","1","A","1 1"
"Cell794","1","B","1 0"
"Cell795","1","B","1 0"
"Cell796","1","A","1 1"
"Cell797","1","B","1 0"
"Cell798","1","A","1 1"
"Cell799","1","B","1 0"
"Cell800","1","A","1 1"
"Cell801","1","B","1 0"
"Cell802","1","B","1 0"
"Cell803","1","B","1 0"
"Cell804","1","A","1 1"
"Cell805","1","A","1 1"
"Cell806","1","B","1 0"
"Cell807","1","A","1 1"
"Cell808","1","B","1 0"
"Cell809","1","B","1 0"
"Cell810","1","B","1 0"
"Cell811","1","A","1 1"
"Cell812","1","B","1 0"
"Cell813","1","B","1 0"
"Cell814","1","B","1 0"
"Cell815","1","A","1 1"
"Cell816","1","A","1 1"
"Cell817","1","B","1 0"
"Cell818","1","A","1 1"
"Cell819","1","B","1 0"
"Cell820","1","B","1 0"
"Cell821","1","A","1 1"
"Cell822","1","A","1 1"
"Cell823","1","A","1 1"
"Cell824","1","A","1 1"
"Cell825","1","A","1 1"
"Cell826","1","B","1 0"
"Cell827","1","A","1 1"
"Cell828","1","A","1 1"
"Cell829","1","B","1 0"
"Cell830","1","B","1 0"
"Cell831","1","B","1 0"
"Cell832","1","A","1 1"
"Cell833","1","B","1 0"
"Cell834","1","A","1 1"
"Cell835","1","B","1 0"
"Cell836","1","A","1 1"
"Cell837","1","A","1 1"
"Cell838","1","A","1 1"
"Cell839","1","A","1 1"
"Cell840","1","A","1 1"
"Cell841","1","B","1 0"
"Cell842","1","B","1 0"
"Cell843","1","A","1 1"
"Cell844","1","B","1 0"
"Cell845","1","A","1 1"
"Cell846","1","A","1 1"
"Cell847","1","B","1 0"
"Cell848","1","A","1 1"
"Cell849","1","B","1 0"
"Cell850","1","A","1 1"
"Cell851","1","A","1 1"
"Cell852","1","B","1 0"
"Cell853","1","A","1 1"
"Cell854","1","A","1 1"
"Cell855","1","A","1 1"
"Cell856","1","B","1 0"
"Cell857","1","B","1 0"
"Cell858","1","A","1 1"
"Cell859","1","B","1 0"
"Cell860","1","A","1 1"
"Cell861","1","A","1 1"
"Cell862","1","B","1 0"
"Cell863","1","A","1 1"
"Cell864","1","A","1 1"
"Cell865","1","B","1 0"
"Cell866","1","A","1 1"
"Cell867","1","A","1 1"
"Cell868","1","A","1 1"
"Cell869","1","A","1 1"
"Cell870","1","B","1 0"
"Cell871","1","A","1 1"
"Cell872","1","B","1 0"
"Cell873","1","B","1 0"
"Cell874","1","B","1 0"
"Cell875","1","A","1 1"
"Cell876","1","A","1 1"
"Cell877","1","B","1 0"
"Cell878","1","B","1 0"
"Cell879","1","B","1 0"
"Cell880","1","A","1 1"
"Cell881","1","B","1 0"
"Cell882","1","B","1 0"
"Cell883","1","B","1 0"
"Cell884","1","B","1 0"
"Cell885","1","A","1 1"
"Cell886","1","B","1 0"
"Cell887","1","A","1 1"
"Cell888","1","A","1 1"
"Cell889","1","B","1 0"
"Cell890","1","A","1 1"
"Cell891","1","A","1 1"
"Cell892","1","A","1 1"
"Cell893","1","B","1 0"
"Cell894","1","A","1 1"
"Cell895","1","B","1 0"
"Cell896","1","B","1 0"
"Cell897","1","A","1 1"
"Cell898","1","A","1 1"
"Cell899","1","A","1 1"
"Cell900","1","B","1 0"
"Cell901","1","B","1 0"
"Cell902","1","A","1 1"
"Cell903","1","A","1 1"
"Cell904","1","B","1 0"
"Cell905","1","A","1 1"
"Cell906","1","B","1 0"
"Cell907","1","B","1 0"
"Cell908","1","B","1 0"
"Cell909","1","A","1 1"
"Cell910","1","A","1 1"
"Cell911","1","A","1 1"
"Cell912","1","B","1 0"
"Cell913","1","B","1 0"
"Cell914","1","B","1 0"
"Cell915","1","B","1 0"
"Cell916","1","B","1 0"
"Cell917","1","A","1 1"
"Cell918","1","B","1 0"
"Cell919","1","A","1 1"
"Cell920","1","B","1 0"
"Cell921","1","A","1 1"
"Cell922","1","B","1 0"
"Cell923","1","A","1 1"
"Cell924","1","B","1 0"
"Cell925","1","B","1 0"
"Cell926","1","A","1 1"
"Cell927","1","A","1 1"
"Cell928","1","A","1 1"
"Cell929","1","B","1 0"
"Cell930","1","B","1 0"
"Cell931","1","B","1 0"
